file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.16.1\jsoup-jsoup-1.16.1\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$Anonymous1,anonymous,9,9,0,9,5,1,0,19,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,24,3,0,0,0,0,0,0,2,0,2,2,0,0,0,15,-1,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.16.1\jsoup-jsoup-1.16.1\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$Anonymous31,anonymous,2,2,0,2,6,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,1,1,0,0,0,14,-1,1
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.16.1\jsoup-jsoup-1.16.1\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$Anonymous32,anonymous,2,2,0,2,2,1,0,5,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,-1,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.16.1\jsoup-jsoup-1.16.1\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$Anonymous3,anonymous,7,7,0,7,11,1,0,21,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,35,6,0,0,0,1,4,0,1,0,1,1,0,0,0,17,-1,2
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.16.1\jsoup-jsoup-1.16.1\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$Anonymous33,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.16.1\jsoup-jsoup-1.16.1\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$Anonymous2,anonymous,6,6,0,6,10,1,0,20,1,0.0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,34,6,0,0,0,1,2,0,0,0,0,1,0,0,0,17,-1,2
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.16.1\jsoup-jsoup-1.16.1\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$Anonymous34,anonymous,3,3,0,3,14,1,0,8,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1,0,1,1,0,0,0,13,-1,3
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.16.1\jsoup-jsoup-1.16.1\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$Anonymous9,anonymous,10,10,0,10,29,1,0,38,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,121,20,0,1,0,1,15,0,4,0,4,4,0,0,0,25,-1,7
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.16.1\jsoup-jsoup-1.16.1\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$Anonymous39,anonymous,4,4,0,4,7,1,0,11,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,1,3,0,3,2,0,0,0,17,-1,1
C:\Users\Okan\Desktop\KOU YL YM\Yazılım Mimarisi ve Tasarım Yöntemleri\Proje\Sürümler\jsoup-jsoup-1.16.1\jsoup-jsoup-1.16.1\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$Anonymous8,anonymous,2,2,0,2,4,1,0,10,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,1,0,0,0,8,-1,1
